Post code;Gemeente naam;Provincie naam
1000;Sint-Joost-ten-Node;Brussel
1160;Oudergem;Brussel
1340;Ottignies;Brabant wallon (le)
2570;Duffel;Antwerpen
2830;Willebroek;Antwerpen
2450;Meerhout;Antwerpen
2560;Kessel;Antwerpen
2223;Schriek;Antwerpen
2800;Mechelen;Antwerpen
5521;Serville;Namur
5100;Dave;Namur
5332;Crupet;Namur
3680;Neeroeteren;Limburg
3740;Bilzen;Limburg
8940;Geluwe;West-Vlaanderen
8952;Wulvergem;West-Vlaanderen
6637;Hollange;Luxembourg
5370;Jeneffe;Namur
5564;Wanlin;Namur
5555;Monceau-en-Ardenne;Namur
5360;Hamois;Namur
5032;Bossière;Namur
5380;Noville-les-Bois;Namur
3621;Rekem;Limburg
3770;Riemst;Limburg
3790;Sint-Martens-Voeren;Limburg
8210;Zedelgem;West-Vlaanderen
8490;Jabbeke;West-Vlaanderen
8552;Moen;West-Vlaanderen
8720;Markegem;West-Vlaanderen
8730;Beernem;West-Vlaanderen
8851;Koolskamp;West-Vlaanderen
6666;Wibrin;Luxembourg
6690;Bihain;Luxembourg
6730;Tintigny;Luxembourg
6747;Saint-Léger;Luxembourg
6890;Villance;Luxembourg
3440;Zoutleeuw;Vlaams-Brabant
3150;Haacht;Vlaams-Brabant
3404;Attenhoven;Vlaams-Brabant
3290;Schaffen;Vlaams-Brabant
3321;Outgaarden;Vlaams-Brabant
9690;Kwaremont;Oost-Vlaanderen
9750;Huise;Oost-Vlaanderen
9070;Heusden;Oost-Vlaanderen
9661;Parike;Oost-Vlaanderen
9240;Zele;Oost-Vlaanderen
9080;Lochristi;Oost-Vlaanderen
4860;Pepinster;Liège
4690;Bassenge;Liège
4841;Henri-Chapelle;Liège
4130;Esneux;Liège
7863;Ghoy;Henegouwen
6460;Robechies;Henegouwen
6511;Strée;Henegouwen
7548;Warchin;Henegouwen
7700;Mouscron;Henegouwen
1031;Schaarbeek;Brussel
1008;Brussel;Brussel
1300;Wavre;Brabant wallon (le)
1420;Braine-l'Alleud;Brabant wallon (le)
8900;Ieper;West-Vlaanderen
8930;Menen;West-Vlaanderen
6680;Tillet;Luxembourg
6704;Guirsch;Luxembourg
6740;Étalle;Luxembourg
3400;Neerwinden;Vlaams-Brabant
1800;Vilvoorde;Vlaams-Brabant
1840;Londerzeel;Vlaams-Brabant
5300;Bonneville;Namur
5544;Agimont;Namur
5004;Bouge;Namur
3806;Velm;Limburg
8530;Harelbeke;West-Vlaanderen
1701;Itterbeek;Vlaams-Brabant
9310;Moorsel;Oost-Vlaanderen
9042;Sint-Kruis-Winkel;Oost-Vlaanderen
9520;Vlierzele;Oost-Vlaanderen
9552;Borsbeke;Oost-Vlaanderen
4728;Hergenrath;Liège
4520;Moha;Liège
4987;Stoumont;Liège
4557;Soheit-Tinlot;Liège
7130;Bray;Henegouwen
7503;Froyennes;Henegouwen
7622;Laplaigne;Henegouwen
7603;Bon-Secours;Henegouwen
7041;Givry;Henegouwen
1170;Watermaal-Bosvoorde;Brussel
1332;Genval;Brabant wallon (le)
1435;Mont-Saint-Guibert;Brabant wallon (le)
1471;Loupoigne;Brabant wallon (le)
1480;Tubize;Brabant wallon (le)
2300;Turnhout;Antwerpen
2370;Arendonk;Antwerpen
2243;Pulle;Antwerpen
2160;Wommelgem;Antwerpen
5571;Wiesme;Namur
5080;Émines;Namur
5543;Heer;Namur
3581;Beverlo;Limburg
3583;Paal;Limburg
3590;Diepenbeek;Limburg
3640;Molenbeersel;Limburg
3717;Herstappe;Limburg
3722;Wintershoven;Limburg
3891;Buvingen;Limburg
3980;Tessenderlo;Limburg
8550;Zwevegem;West-Vlaanderen
8553;Otegem;West-Vlaanderen
8691;Leisele;West-Vlaanderen
8700;Tielt;West-Vlaanderen
8760;Meulebeke;West-Vlaanderen
6840;Neufchâteau;Luxembourg
6870;Arville;Luxembourg
6983;Ortho;Luxembourg
6987;Rendeux;Luxembourg
3120;Tremelo;Vlaams-Brabant
1541;Sint-Pieters-Kapelle;Vlaams-Brabant
3270;Scherpenheuvel;Vlaams-Brabant
2310;Rijkevorsel;Antwerpen
2547;Lint;Antwerpen
2845;Niel;Antwerpen
2060;Antwerpen;Antwerpen
2627;Schelle;Antwerpen
2381;Weelde;Antwerpen
2150;Borsbeek;Antwerpen
2387;Baarle-Hertog;Antwerpen
7504;Froidmont;Henegouwen
7822;Meslin-l'Évêque;Henegouwen
1401;Baulers;Brabant wallon (le)
1460;Ittre;Brabant wallon (le)
2640;Mortsel;Antwerpen
2382;Poppel;Antwerpen
3472;Kersbeek-Miskom;Vlaams-Brabant
3272;Testelt;Vlaams-Brabant
3212;Pellenberg;Vlaams-Brabant
1640;Sint-Genesius-Rode;Vlaams-Brabant
3450;Geetbets;Vlaams-Brabant
1540;Herne;Vlaams-Brabant
9473;Welle;Oost-Vlaanderen
9112;Sinaai;Oost-Vlaanderen
9031;Drongen;Oost-Vlaanderen
9308;Hofstade;Oost-Vlaanderen
4730;Raeren;Liège
4632;Cerexhe-Heuseux;Liège
4351;Hodeige;Liège
4480;Clermont-sous-Huy;Liège
4910;La Reid;Liège
7510;Orcq;Henegouwen
7020;Maisières;Henegouwen
6534;Gozée;Henegouwen
7860;Lessines;Henegouwen
7330;Saint-Ghislain;Henegouwen
7864;Deux-Acren;Henegouwen
7100;La Louvière;Henegouwen
6531;Biesme-sous-Thuin;Henegouwen
1780;Wemmel;Vlaams-Brabant
9402;Meerbeke;Oost-Vlaanderen
9920;Lovendegem;Oost-Vlaanderen
9185;Wachtebeke;Oost-Vlaanderen
9030;Mariakerke;Oost-Vlaanderen
9140;Temse;Oost-Vlaanderen
4141;Louveigné;Liège
4570;Marchin;Liège
6464;Bourlers;Henegouwen
7861;Wannebecq;Henegouwen
7131;Waudrez;Henegouwen
6044;Roux;Henegouwen
6030;Marchienne-au-Pont;Henegouwen
7134;Ressaix;Henegouwen
6181;Gouy-lez-Piéton;Henegouwen
7382;Audregnies;Henegouwen
7301;Hornu;Henegouwen
6230;Luttre;Henegouwen
1130;Brussel;Brussel
1410;Waterloo;Brabant wallon (le)
1474;Ways;Brabant wallon (le)
2350;Vosselaar;Antwerpen
2870;Puurs;Antwerpen
2360;Oud-Turnhout;Antwerpen
5364;Schaltin;Namur
8640;Oostvleteren;West-Vlaanderen
8690;Alveringem;West-Vlaanderen
8791;Beveren;West-Vlaanderen
8880;Rollegem-Kapelle;West-Vlaanderen
6600;Wardin;Luxembourg
6688;Longchamps;Luxembourg
6692;Petit-Thier;Luxembourg
6769;Meix-devant-Virton;Luxembourg
6980;Beausaint;Luxembourg
1860;Meise;Vlaams-Brabant
1650;Beersel;Vlaams-Brabant
1742;Sint-Katherina-Lombeek;Vlaams-Brabant
5001;Belgrade;Namur
5000;Namur;Namur
3530;Houthalen;Limburg
3580;Beringen;Limburg
3742;Martenslinde;Limburg
3791;Remersdaal;Limburg
3798;'s-Gravenvoeren;Limburg
8460;Oudenburg;West-Vlaanderen
8582;Outrijve;West-Vlaanderen
5630;Soumoy;Namur
5561;Celles;Namur
5140;Sombreffe;Namur
5660;Couvin;Namur
5031;Grand-Leez;Namur
5570;Javingue;Namur
3723;Guigoven;Limburg
3840;Borgloon;Limburg
3910;Neerpelt;Limburg
8377;Houtave;West-Vlaanderen
8432;Leffinge;West-Vlaanderen
8520;Kuurne;West-Vlaanderen
8840;Staden;West-Vlaanderen
6700;Heinsch;Luxembourg
6824;Chassepierre;Luxembourg
6838;Corbion;Luxembourg
6924;Lomprez;Luxembourg
1630;Linkebeek;Vlaams-Brabant
3040;Neerijse;Vlaams-Brabant
9;Zichem;Vlaams-Brabant
3000;Heverlee;Vlaams-Brabant
1602;Vlezenbeek;Vlaams-Brabant
3350;Wommersom;Vlaams-Brabant
1932;Sint-Stevens-Woluwe;Vlaams-Brabant
3070;Kortenberg;Vlaams-Brabant
4710;Lontzen;Liège
4453;Villers-Saint-Siméon;Liège
6060;Gilly;Henegouwen
7040;Quévy-le-Petit;Henegouwen
6536;Thuillies;Henegouwen
7804;Ostiches;Henegouwen
6542;Sars-la-Buissière;Henegouwen
6461;Virelles;Henegouwen
7531;Havinnes;Henegouwen
7532;Beclers;Henegouwen
1000;Elsene;Brussel
1390;Archennes;Brabant wallon (le)
2235;Houtvenne;Antwerpen
9550;Sint-Lievens-Esse;Oost-Vlaanderen
9100;Sint-Niklaas;Oost-Vlaanderen
9988;Watervliet;Oost-Vlaanderen
9250;Waasmunster;Oost-Vlaanderen
9150;Bazel;Oost-Vlaanderen
9810;Nazareth;Oost-Vlaanderen
9400;Ninove;Oost-Vlaanderen
4590;Ouffet;Liège
4606;Saint-André;Liège
4880;Aubel;Liège
4831;Bilstain;Liège
6997;Érezée;Luxembourg
1654;Huizingen;Vlaams-Brabant
3118;Werchter;Vlaams-Brabant
5621;Hanzinelle;Namur
5640;Mettet;Namur
5537;Bioul;Namur
5020;Vedrin;Namur
5377;Heure;Namur
5081;Saint-Denis;Namur
3501;Wimmertingen;Limburg
3620;Lanaken;Limburg
3950;Bocholt;Limburg
8850;Ardooie;West-Vlaanderen
6821;Lacuisine;Luxembourg
6834;Bellevaux;Luxembourg
6852;Opont;Luxembourg
6853;Framont;Luxembourg
1653;Dworp;Vlaams-Brabant
9270;Laarne;Oost-Vlaanderen
9290;Uitbergen;Oost-Vlaanderen
9681;Nukerke;Oost-Vlaanderen
4761;Rocherath;Liège
4140;Sprimont;Liège
4877;Olne;Liège
4670;Mortier;Liège
4750;Elsenborn;Liège
4780;Sankt Vith;Liège
4051;Vaux-sous-Chèvremont;Liège
4652;Xhendelesse;Liège
7740;Pecq;Henegouwen
6221;Saint-Amand;Henegouwen
7942;Mévergnies-lez-Lens;Henegouwen
7332;Sirault;Henegouwen
7010;Maisières;Henegouwen
6500;Solre-Saint-Géry;Henegouwen
6250;Aiseau;Henegouwen
7624;Howardries;Henegouwen
7611;La Glanerie;Henegouwen
7130;Binche;Henegouwen
6560;Solre-sur-Sambre;Henegouwen
7711;Dottignies;Henegouwen
6210;Wayaux;Henegouwen
7190;Écaussinnes-d'Enghien;Henegouwen
1120;Brussel;Brussel
1150;Sint-Pieters-Woluwe;Brussel
1320;Beauvechain;Brabant wallon (le)
1331;Rosières;Brabant wallon (le)
1348;Mont-Saint-Guibert;Brabant wallon (le)
1404;Bornival;Brabant wallon (le)
2520;Broechem;Antwerpen
2490;Balen;Antwerpen
2530;Boechout;Antwerpen
2270;Herenthout;Antwerpen
5190;Moustier;Namur
5010;Namur;Namur
5101;Loyers;Namur
5524;Gerin;Namur
3930;Achel;Limburg
3945;Kwaadmechelen;Limburg
8300;Knokke;West-Vlaanderen
8531;Hulste;West-Vlaanderen
8790;Waregem;West-Vlaanderen
8792;Desselgem;West-Vlaanderen
6920;Sohier;Luxembourg
9521;Letterhoutem;Oost-Vlaanderen
4040;Herstal;Liège
4801;Stembert;Liège
4280;Hannut;Liège
4700;Eupen;Liège
4357;Donceel;Liège
4980;Wanne;Liège
6001;Marcinelle;Henegouwen
7970;Belœil;Henegouwen
7972;Ellignies-Sainte-Anne;Henegouwen
7803;Bouvignies;Henegouwen
6042;Lodelinsart;Henegouwen
612;Brussel;Brussel
1000;Brussel;Brussel
2275;Lille;Antwerpen
2650;Edegem;Antwerpen
2030;Antwerpen;Antwerpen
2950;Kapellen;Antwerpen
6831;Noirefontaine;Luxembourg
6971;Champlon;Luxembourg
1804;Vilvoorde;Vlaams-Brabant
1671;Elingen;Vlaams-Brabant
1730;Asse;Vlaams-Brabant
1702;Groot-Bijgaarden;Vlaams-Brabant
3111;Wezemaal;Vlaams-Brabant
1560;Hoeilaart;Vlaams-Brabant
1601;Ruisbroek;Vlaams-Brabant
9111;Belsele;Oost-Vlaanderen
9470;Denderleeuw;Oost-Vlaanderen
9950;Waarschoot;Oost-Vlaanderen
9688;Schorisse;Oost-Vlaanderen
9831;Deurle;Oost-Vlaanderen
5576;Froidfontaine;Namur
5352;Perwez;Namur
5570;Honnay;Namur
5644;Ermeton-sur-Biert;Namur
5522;Falaën;Namur
3510;Kermt;Limburg
3512;Stevoort;Limburg
8434;Westende;West-Vlaanderen
8560;Moorsele;West-Vlaanderen
8908;Vlamertinge;West-Vlaanderen
8972;Proven;West-Vlaanderen
6782;Habergy;Luxembourg
6812;Suxy;Luxembourg
6820;Muno;Luxembourg
6830;Bouillon;Luxembourg
1830;Machelen;Vlaams-Brabant
3128;Baal;Vlaams-Brabant
1933;Sterrebeek;Vlaams-Brabant
1703;Schepdaal;Vlaams-Brabant
3050;Oud-Heverlee;Vlaams-Brabant
1731;Relegem;Vlaams-Brabant
9932;Ronsele;Oost-Vlaanderen
9968;Bassevelde;Oost-Vlaanderen
9636;Nederzwalm-Hermelgem;Oost-Vlaanderen
9041;Oostakker;Oost-Vlaanderen
4861;Soiron;Liège
4120;Rotheux-Rimière;Liège
4623;Magnée;Liège
4711;Walhorn;Liège
4651;Herve;Liège
4830;Limbourg;Liège
4431;Loncin;Liège
4261;Latinne;Liège
4600;Visé;Liège
7140;Morlanwelz-Mariemont;Henegouwen
6061;Montignies-sur-Sambre;Henegouwen
7730;Estaimbourg;Henegouwen
7521;Chercq;Henegouwen
7110;Strépy-Bracquegnies;Henegouwen
6567;Labuissière;Henegouwen
7334;Hautrage;Henegouwen
6211;Mellet;Henegouwen
1070;Anderlecht;Brussel
1325;Chaumont-Gistoux;Brabant wallon (le)
1440;Braine-le-Château;Brabant wallon (le)
1457;Walhain-Saint-Paul;Brabant wallon (le)
1470;Genappe;Brabant wallon (le)
1490;Court-Saint-Étienne;Brabant wallon (le)
2620;Hemiksem;Antwerpen
2860;Sint-Katelijne-Waver;Antwerpen
2550;Kontich;Antwerpen
2390;Oostmalle;Antwerpen
2470;Retie;Antwerpen
2460;Lichtaart;Antwerpen
2890;Oppuurs;Antwerpen
2000;Antwerpen;Antwerpen
2140;Borgerhout;Antwerpen
5523;Sommière;Namur
3800;Brustem;Limburg
3941;Eksel;Limburg
8554;Sint-Denijs;West-Vlaanderen
8904;Boezinge;West-Vlaanderen
8954;Westouter;West-Vlaanderen
8956;Kemmel;West-Vlaanderen
8970;Poperinge;West-Vlaanderen
6900;Waha;Luxembourg
3200;Aarschot;Vlaams-Brabant
1674;Bellingen;Vlaams-Brabant
3054;Vaalbeek;Vlaams-Brabant
3010;Kessel-Lo;Vlaams-Brabant
3053;Haasrode;Vlaams-Brabant
9200;Dendermonde;Oost-Vlaanderen
9991;Adegem;Oost-Vlaanderen
9180;Moerbeke;Oost-Vlaanderen
9980;Sint-Laureins;Oost-Vlaanderen
9881;Bellem;Oost-Vlaanderen
9571;Hemelveerdegem;Oost-Vlaanderen
4163;Tavier;Liège
4990;Lierneux;Liège
4450;Villers-Saint-Siméon;Liège
4970;Stavelot;Liège
4053;Embourg;Liège
4681;Hermalle-sous-Argenteau;Liège
7512;Kain;Henegouwen
7620;Jollain-Merlin;Henegouwen
6142;Leernes;Henegouwen
7862;Ogy;Henegouwen
7300;Boussu;Henegouwen
1105;Brussel;Brussel
1050;Elsene;Brussel
2320;Hoogstraten;Antwerpen
2321;Meer;Antwerpen
2531;Vremde;Antwerpen
1700;Dilbeek;Vlaams-Brabant
9860;Scheldewindeke;Oost-Vlaanderen
6630;Martelange;Luxembourg
6781;Sélange;Luxembourg
6813;Termes;Luxembourg
9790;Wortegem;Oost-Vlaanderen
9570;Deftinge;Oost-Vlaanderen
4458;Fexhe-Slins;Liège
4031;Angleur;Liège
4650;Julémont;Liège
4560;Clavier;Liège
4770;Amel;Liège
6110;Montignies-le-Tilleul;Henegouwen
7034;Obourg;Henegouwen
6532;Ragnies;Henegouwen
6530;Thuin;Henegouwen
7604;Wasmes-Audemez-Briffoeil;Henegouwen
7500;Tournai;Henegouwen
7333;Tertre;Henegouwen
7803;Ath;Henegouwen
6594;Beauwelz;Henegouwen
7910;Cordes;Henegouwen
6120;Ham-sur-Heure;Henegouwen
7506;Willemeau;Henegouwen
7783;Ploegsteert;Henegouwen
1200;Sint-Lambrechts-Woluwe;Brussel
1049;Evere;Brussel
1370;Jodoigne;Brabant wallon (le)
2590;Berlaar;Antwerpen
2431;Veerle;Antwerpen
2801;Heffen;Antwerpen
5560;Mesnil-Église;Namur
5363;Emptinne;Namur
5600;Sautour;Namur
5641;Furnaux;Namur
5501;Lisogne;Namur
5651;Gourdinne;Namur
5030;Gembloux;Namur
5150;Floreffe;Namur
3660;Opglabbeek;Limburg
8610;Handzame;West-Vlaanderen
8755;Ruiselede;West-Vlaanderen
6660;Houffalize;Luxembourg
6920;Wellin;Luxembourg
1820;Steenokkerzeel;Vlaams-Brabant
1502;Lembeek;Vlaams-Brabant
3370;Vertrijk;Vlaams-Brabant
1852;Beigem;Vlaams-Brabant
6660;Nadrin;Luxembourg
6717;Attert;Luxembourg
6761;Latour;Luxembourg
6950;Nassogne;Luxembourg
6990;Hotton;Luxembourg
3381;Kapellen;Vlaams-Brabant
3052;Blanden;Vlaams-Brabant
1673;Beert;Vlaams-Brabant
3140;Keerbergen;Vlaams-Brabant
5333;Sorinne-la-Longue;Namur
3650;Dilsen;Limburg
3665;As;Limburg
3720;Kortessem;Limburg
3970;Leopoldsburg;Limburg
8650;Klerken;West-Vlaanderen
8750;Wingene;West-Vlaanderen
8770;Ingelmunster;West-Vlaanderen
6640;Nives;Luxembourg
6687;Bertogne;Luxembourg
1570;Tollembeek;Vlaams-Brabant
9032;Wondelgem;Oost-Vlaanderen
9630;Munkzwalm;Oost-Vlaanderen
9130;Kieldrecht;Oost-Vlaanderen
4540;Amay;Liège
4367;Crisnée;Liège
4834;Goé;Liège
4602;Cheratte;Liège
4020;Jupille-sur-Meuse;Liège
4300;Waremme;Liège
4608;Neufchâteau;Liège
7712;Herseaux;Henegouwen
6032;Mont-sur-Marchienne;Henegouwen
1081;Koekelberg;Brussel
1050;Sint-Gillis;Brussel
2330;Merksplas;Antwerpen
2500;Lier;Antwerpen
5351;Haillot;Namur
5540;Hastière-par-delà;Namur
5550;Sugny;Namur
3582;Koersel;Limburg
3850;Nieuwerkerken;Limburg
8480;Eernegem;West-Vlaanderen
8570;Anzegem;West-Vlaanderen
8830;Hooglede;West-Vlaanderen
8978;Watou;West-Vlaanderen
3300;Tienen;Vlaams-Brabant
3401;Walshoutem;Vlaams-Brabant
3210;Lubbeek;Vlaams-Brabant
1501;Buizingen;Vlaams-Brabant
1950;Kraainem;Vlaams-Brabant
9771;Nokere;Oost-Vlaanderen
9190;Stekene;Oost-Vlaanderen
9051;Sint-Denijs-Westrem;Oost-Vlaanderen
9700;Oudenaarde;Oost-Vlaanderen
9770;Kruishoutem;Oost-Vlaanderen
4181;Filot;Liège
4342;Hognoul;Liège
4161;Villers-aux-Tours;Liège
4650;Grand-Rechain;Liège
4257;Corswarem;Liège
6210;Frasnes-lez-Gosselies;Henegouwen
7802;Ormeignies;Henegouwen
6200;Bouffioulx;Henegouwen
7021;Havré;Henegouwen
1060;Sint-Gillis;Brussel
1300;Limal;Brabant wallon (le)
2170;Merksem;Antwerpen
2630;Aartselaar;Antwerpen
1033;Schaarbeek;Brussel
1006;Brussel;Brussel
1043;Schaarbeek;Brussel
7000;Mons;Henegouwen
9921;Vinderhoute;Oost-Vlaanderen
9931;Oostwinkel;Oost-Vlaanderen
4170;Comblain-au-Pont;Liège
4400;Chokier;Liège
4122;Plainevaux;Liège
4121;Neuville-en-Condroz;Liège
4099;Awans;Liège
4631;Évegnée-Tignée;Liège
4890;Clermont;Liège
4470;Saint-Georges-sur-Meuse;Liège
7542;Mont-Saint-Aubert;Henegouwen
7331;Baudour;Henegouwen
7600;Péruwelz;Henegouwen
6111;Landelies;Henegouwen
6040;Jumet;Henegouwen
7520;Templeuve;Henegouwen
1341;Céroux-Mousty;Brabant wallon (le)
1350;Jauche;Brabant wallon (le)
2242;Pulderbos;Antwerpen
2850;Boom;Antwerpen
2491;Olmen;Antwerpen
2480;Dessel;Antwerpen
5310;Éghezée;Namur
5670;Olloy-sur-Viroin;Namur
3792;Sint-Pieters-Voeren;Limburg
8620;Ramskapelle;West-Vlaanderen
8951;Dranouter;West-Vlaanderen
6670;Limerlé;Luxembourg
6721;Anlier;Luxembourg
6767;Harnoncourt;Luxembourg
1934;Diegem;Vlaams-Brabant
3018;Wilsele;Vlaams-Brabant
3201;Langdorp;Vlaams-Brabant
3360;Bierbeek;Vlaams-Brabant
3080;Tervuren;Vlaams-Brabant
3380;Glabbeek-Zuurbemde;Vlaams-Brabant
1651;Lot;Vlaams-Brabant
3470;Kortenaken;Vlaams-Brabant
9404;Aspelare;Oost-Vlaanderen
9840;Zevergem;Oost-Vlaanderen
9506;Grimminge;Oost-Vlaanderen
9160;Lokeren;Oost-Vlaanderen
9900;Eeklo;Oost-Vlaanderen
4420;Saint-Nicolas;Liège
6150;Anderlues;Henegouwen
7610;Rumes;Henegouwen
7522;Hertain;Henegouwen
7370;Dour;Henegouwen
7602;Bury;Henegouwen
6010;Couillet;Henegouwen
7321;Blaton;Henegouwen
7906;Gallaix;Henegouwen
7608;Wiers;Henegouwen
1315;Incourt;Brabant wallon (le)
1473;Glabais;Brabant wallon (le)
2280;Grobbendonk;Antwerpen
2040;Berendrecht-Zandvliet-Lillo;Antwerpen
4287;Lincent;Liège
4620;Fléron;Liège
4217;Héron;Liège
5372;Méan;Namur
5354;Jallet;Namur
5021;Boninne;Namur
3790;Moelingen;Limburg
3900;Overpelt;Limburg
8433;Slijpe;West-Vlaanderen
8583;Bossuit;West-Vlaanderen
8810;Lichtervelde;West-Vlaanderen
8870;Izegem;West-Vlaanderen
6673;Cherain;Luxembourg
6681;Lavacherie;Luxembourg
6690;Petit-Thier;Luxembourg
6792;Halanzy;Luxembourg
6833;Ucimont;Luxembourg
1770;Liedekerke;Vlaams-Brabant
