CODE,NEDERLANDSE OMSCHRIJVING ,ENGELSE OMSCHRIJVING
T,SECTIE T -- HUISHOUDENS ALS WERKGEVER; NIET-GEDIFFE-RENTIEERDE PRODUCTIE VAN GOEDEREN EN DIENSTEN DOOR  HUISHOUDENS VOOR EIGEN GEBRUIK,SECTION T -- ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE
U,SECTIE U -- EXTRATERRITORIALE ORGANISATIES EN LICHAMEN,SECTION U -- ACTIVITIES OF EXTRATERRITORIAL ORGANIZATIONS AND BODIES
,,
01,"Teelt van gewassen, veeteelt, jacht en diensten in verband met deze activiteiten","Crop and animal production, hunting and related service activities"
011,Teelt van eenjarige gewassen,Growing of non-perennial crops
0111,"Teelt van granen (m.u.v. rijst), peulgewassen en oliehoudende zaden","Growing of cereals (except rice), leguminous crops and oil seeds"
01110,"Teelt van granen (m.u.v. rijst), peulgewassen en oliehoudende zaden","Growing of cereals (except rice), leguminous crops and oil seeds"
0111001,"Graanteelt (m.u.v. rijst) : tarwe, rogge, gerst, haver, maïs, enz.","Growing of cereals (except rice): hard wheat, soft wheat, rye, barley, oat, corn, etc."
0111002,"Teelt van oliehoudende zaden en van peulvruchten  : aardnoten, sojabonen, koolzaad, enz.","Growing of oil seeds and leguminous crops : groundnuts, soya beans, rapeseeds, etc."
0111003,Teelt van drooggeoogste zaden van peulvruchten zoals erwten en bonen,Growing of dried leguminous vegetables such as feed peas and beans
0111004,Teelt van zaai- en plantgoed voor de akkerbouw,Production of cereal seeds
0111005,"Teelt van overige akkerbouwgewassen, niet elders genoemd",Crops n.e.c.
0112,Teelt van rijst,Growing of rice
01120,Teelt van rijst,Growing of rice
0113,"Teelt van groenten, meloenen en wortel- en knolgewassen","Growing of vegetables and melons, roots and tubers"
01130,"Teelt van groenten, meloenen en wortel- en knolgewassen","Growing of vegetables and melons, roots and tubers"
0113001,Teelt van paddestoelen en truffels,Growing of mushrooms and truffles
0113002,Teelt van zaai- en plantgoed voor de groenteteelt,Production of vegetable seeds
0113011,Aardappelteelt,Growing of potatoes
0113012,Teelt van wortels en knollen met een hoog zetmeel- of inulinegehalte,Growing of roots and tubers  with a high grade of starch or inulin
0114,Teelt van suikerriet,Growing of sugar cane
01140,Teelt van suikerriet,Growing of sugar cane
0115,Teelt van tabak,Growing of tobacco
01150,Teelt van tabak,Growing of tobacco
0116,Teelt van vezelgewassen,Growing of fibre crops
01160,Teelt van vezelgewassen,Growing of fibre crops
0119,Teelt van andere eenjarige gewassen,Growing of other non-perennial crops
01191,Teelt van bloemen,Growing of flowers
0119101,Teelt van bloemen en snijbloemen,Growing of flowers and of cut flowers
0119102,Vervaardiging van gedroogde bloemen,Manufacture of dried flowers
0119103,Teelt van zaai- en plantgoed voor de bloementeelt,Production of flower seeds
01199,"Teelt van andere eenjarige gewassen, n.e.g.",Growing of other non-perennial crops n.e.c.
012,Teelt van meerjarige gewassen,Permanent crops
0121,Teelt van druiven,Growing of grapes
01210,Teelt van druiven,Growing of grapes
0121001,Teelt van wijn- en tafeldruiven,Growing of wine grapes and table grapes
0122,Teelt van tropisch en subtropisch fruit,Growing of tropical and subtropical fruits
01220,Teelt van tropisch en subtropisch fruit,Growing of tropical and subtropical fruits
0123,Teelt van citrusvruchten,Growing of citrus fruits
01230,Teelt van citrusvruchten,Growing of citrus fruits
0124,Teelt van pit- en steenvruchten,Growing of pome fruits and stone fruits
01240,Teelt van pit- en steenvruchten,Growing of pome fruits and stone fruits
0124001,"Fruitteelt : de teelt van appels, peren, abrikozen, kersen, perziken, enz.","Growing of fruits: apples, pears, apricots, cherries, peaches, etc;"
0125,"Teelt van andere boomvruchten, kleinfruit en noten",Growing of other tree and bush fruits and nuts
01250,"Teelt van andere boomvruchten, kleinfruit en noten",Growing of other tree and bush fruits and nuts
0126,Teelt van oliehoudende vruchten,Growing of oleaginous fruits
01260,Teelt van oliehoudende vruchten,Growing of oleaginous fruits
0127,Teelt van gewassen bestemd voor de vervaardiging van dranken,Growing of beverage crops
01270,Teelt van gewassen bestemd voor de vervaardiging van dranken,Growing of beverage crops
0128,Teelt van specerijgewassen en van aromatische en medicinale gewassen,"Growing of spices, aromatic, drug and pharmaceutical crops"
01280,Teelt van specerijgewassen en van aromatische en medicinale gewassen,"Growing of spices, aromatic, drug and pharmaceutical crops"
0128001,"Kruidenteelt : kappers, paprika's, venkel, peterselie, kervel, dragon, marjolein, enz.","Growing of condiments: capers, peppers, fennel, parsley, chervil, tarragon, marjoram, etc."
0128011,"Teelt van specerijgewassen : laurier, bazielkruid, anijs, koriander, komijn, kaneel, kruidnagel, muskaatnoot, gember, enz.","Growing of plants for spicing: bay leaf, basil, anise, coriander, cumin, cinnamon, cloves, nutmeg, ginger, etc."
0128021,Teelt van geneeskrachtige planten en van planten gebruikt voor insecten- of parasietenbestrijding en dergelijke,"Growing of plants for pharmaceutical purposes or insecticide, parasiticide or similar"
0129,Teelt van andere meerjarige gewassen,Growing of other perennial crops
01290,Teelt van andere meerjarige gewassen,Growing of other perennial crops
0129001,Teelt van plantaardige producten voor vlechtwerk.,Growing of plants for plaiting
013,Plantenvermeerdering,Plant propagation
0130,Plantenvermeerdering,Plant propagation
01301,"Boomkwekerijen, m.u.v. bosboomkwekerijen","Operation of tree nurseries, except forest nurseries"
01309,Overige plantenvermeerdering,Other reproduction of plants
0130901,"Teelt van planten bestemd om te worden overgeplant en van sierplanten : struiken, heesters, sierbomen, bomen en plantgoed voor fruitaanplantingen, enz.","Cultivation of plants for planting and ornamentation: bushes, shrubs, indoor ornamentals, trees, etc."
0130902,Teelt van zoden om te verplanten,Growing of turf rolls
014,Veeteelt,Animal production
0141,Fokken van melkvee,Raising of dairy cattle
01410,Fokken van melkvee,Raising of dairy cattle
0141001,Fokken van melkvee,Raising of dairy cattle
0141002,Productie van niet-behandelde (rauwe) melk van koeien of buffels,Production of cow or buffalo raw milk
0142,Fokken van andere runderen en buffels,Raising of other cattle and buffaloes
01420,Fokken van andere runderen en buffels,Raising of other cattle and buffaloes
0143,Fokken van paarden en andere paardachtigen,Raising of horses and other equines
01430,Fokken van paarden en andere paardachtigen,Raising of horses and other equines
0144,Fokken van kamelen en andere kameelachtigen,Raising of camels and camelids
01440,Fokken van kamelen en andere kameelachtigen,Raising of camels and camelids
0145,Fokken van schapen en geiten,Raising of sheep and goats
01450,Fokken van schapen en geiten,Raising of sheep and goats
0145001,Fokken van schapen en geiten,Raising of sheep and goats
0145002,Productie van ruwe wol,Production of raw wool
0145003,Productie van rauwe schape- en geitemelk,Production of raw milk from sheep and goats
0146,Fokken van varkens,Raising of swine/pigs
01461,Fokvarkenshouderijen,Raising of breeding pigs
0146101,"Fokvarkenshouderijen, inclusief de fokkerijen van everzwijnen","Raising of breeding pigs, including raising of boars"
01462,Varkensvetmesterijen,Raising of fattening pigs
0146201,"Varkensvetmesterijen, inclusief de vetmesterijen voor derden","Raising of fattening pigs, including fattening for third parties"
0147,Fokken van pluimvee,Raising of poultry
01471,Kippenkwekerijen,Raising of hens
01472,Productie van eieren van pluimvee,Production of poultry eggs
01479,"Pluimveehouderijen, m.u.v. kippenkwekerijen","Raising of poultry, excluding hens"
0149,Fokken van andere dieren,Raising of other animals
01490,Fokken van andere dieren,Raising of other animals
0149001,Bijenteelt en de productie van honing en bijenwas,"Raising of bees, production of honey and beeswax"
0149002,Fokken van konijnen,Raising of rabbits
0149003,Fokken van huisdieren (met uitzondering van vissen),Raising of pets (excluding fish)
0149004,Fokken van pelsdieren,Raising of fur animals
0149005,Fokken van wild in kwekerijen,Raising of game in farms
0149006,Kweken van huisjesslakken (escargots),Breeding of snails
0149007,"Fokken van andere dieren, n.e.g.",Raising of other animals n.e.c.
015,Gemengd bedrijf,Mixed farming
0150,Gemengd bedrijf,Mixed farming
01500,Gemengd bedrijf,Mixed farming
0150001,"Teelt van gewassen in combinatie met het fokken van vee, voor zover de omzet voor elk van de afzonderlijke activiteiten minder dan 2/3 van de totale omzet bedraagt","Growing of plants associated with livestock breeding, as long as the turnover of one of these two activities is less than two thirds of the total turnover"
016,Ondersteunende activiteiten in verband met de landbouw; activiteiten met betrekking tot gewassen na de oogst,Support activities to agriculture and post-harvest crop activities
0161,Ondersteunende activiteiten in verband met de teelt van gewassen,Support activities for crop production
01610,Ondersteunende activiteiten in verband met de teelt van gewassen,Support activities for crop production
0161001,Voorbereiden van landbouwvelden,Land preparation
0161002,Opzetten van een teelt,Creating cultures
0161003,Besproeien van gewassen ook vanuit de lucht,"Crop spraying, including by air"
0161004,Snoeien van fruitbomen en wijnstokken,Fruit trees and vines pruning
0161005,Overplanten van rijst en uitdunnen van bieten,"Transplanting of rice, thinning of beets"
0161006,Verhuur van landbouwmachines en -werktuigen met bedieningspersoneel,Renting  of agricultural machinery and equipment with operator
0161007,Ongediertebestrijding (ook konijnen) m.b.t. de landbouw,Pest control (including rabbits) related to agriculture
0161008,Exploitatie van irrigatiesystemen voor de landbouw,Operation of irrigation systems for agriculture
0162,Ondersteunende activiteiten in verband met de veeteelt,Support activities for animal production
01620,Ondersteunende activiteiten in verband met de veeteelt,Support activities for animal production
0162001,Kunstmatige inseminatie,Activities related to artificial insemination
0162002,Scheren van schapen voor derden,Shearing sheep for third parties
0162003,"Inspecteren van kuddes, drijven van vee, het laten weiden van andermans vee, het kapoenen van gevogelte, het reinigen van hokken","Herds driving services, grazing services, hen houses cleaning services, etc."
0162011,Activiteit van hoefsmeden,Farriers activities
0163,Activiteiten met betrekking tot gewassen na de oogst,Post-harvest crop activities
01630,Activiteiten met betrekking tot gewassen na de oogst,Post-harvest crop activities
0163001,"Voorbereidende behandeling van de gewassen in functie van primaire markten : wassen, afsnijden, sorteren, desinfecteren","Preparation of crops for their initial commercialization: cleaning, cutting, sorting, disinfection"
0164,Zaadbewerking met het oog op vermeerdering,Seed processing for propagation
01640,Zaadbewerking met het oog op vermeerdering,Seed processing for propagation
017,"Jacht, zetten van vallen en diensten in verband met deze activiteiten","Hunting, trapping and related service activities"
0170,"Jacht, zetten van vallen en diensten in verband met deze activiteiten","Hunting, trapping and related service activities"
01700,"Jacht, zetten van vallen en diensten in verband met deze activiteiten","Hunting, trapping and related service activities"
0170001,"Jacht en plaatsen van vallen voor dieren op commerciële basis voor de voedselvoorziening, voor het verzamelen van bont of huiden, t.b.v. onderzoekscentra en dierentuinen of voor gebruik als huisdier","Hunting or trapping animals for commercial food supply, fur, skin, or for research centres or zoos, or used as pets"
02,Bosbouw en de exploitatie van bossen,Forestry and logging
021,Bosbouw,Sylviculture and other forestry activities
0210,Bosbouw,Sylviculture and other forestry activities
02100,Bosbouw,Sylviculture and other forestry activities
0210001,"Houtteelt : aanplanten, herbeplanten, verplanten, uitdunnen en in stand houden van bossen en andere houtopstanden","Growing of standing timber:  planting, replanting, transplanting, thinning and conserving of forests and timber tracts"
0210002,Teelt van hakhout,Growing of coppice and pulpwood
0210003,Exploitatie van bosboomkwekerij,Operation of forest nurseries
022,Exploitatie van bossen,Logging
0220,Exploitatie van bossen,Logging
02200,Exploitatie van bossen,Lumbering
0220001,"Exploitatie van bossen : houthakken en de productie van onbewerkt hout als mijnhout, gekloofde staken, palen en brandhout","Lumbering: logging and production of crude timber, such as mining timber, split poles, posts and firewood"
023,Verzamelen van in het wild groeiende producten met uitzondering van hout,Gathering of wild growing non-wood products
0230,Verzamelen van in het wild groeiende producten met uitzondering van hout,Gathering of wild growing non-wood products
02300,Verzamelen van in het wild groeiende producten met uitzondering van hout,Gathering of wild growing non-wood products
024,Ondersteunende diensten in verband met de bosbouw,Support services to forestry
0240,Ondersteunende diensten in verband met de bosbouw,Support services to forestry
02400,Ondersteunende diensten in verband met de bosbouw,Support services to lumbering
0240001,"Inventarisering van bossen, evaluatie van houtopstanden, brandbeveiliging","Forest inventory, evaluation of wood, protection against fires"
0240002,Vervoer van stamstukken in het bos,Transport of logs within the forest
03,Visserij en aquacultuur,Fishing and aquaculture
031,Visserij,Fishing
0311,Zeevisserij,Marine fishing
03110,Zeevisserij,Marine fishing
0311001,Visserij op volle zee en in kustwateren,Offshore and inshore marine fishing
0311002,Vangen van schaal- en schelpdieren in zee,Sea gathering of crustaceans and molluscs
0311003,Diensten in verband met de zeevisserij met uitzondering van de ondersteunende diensten voor de visvangst als sport of recreatie,"Activities of the services to sea fishing, excluding support services to sport or recreational fishing"
0312,Binnenvisserij,Freshwater fishing
03120,Binnenvisserij,Freshwater fishing
032,Aquacultuur,Aquaculture
0321,Mariene aquacultuur,Marine aquaculture
03210,Mariene aquacultuur,Marine aquaculture
0321001,"Kweken van oesterzaad, mossels, jonge zeekreeften, jonge garnalen, visbroed en pootvis","Production of oyster spat, mussels, lobsterlings, shrimp larvae, fish fry and fingerlings"
0321002,Teelt van porphyra en andere eetbare zeewieren,Growing of algae and other edible seaweeds
0322,Aquacultuur in zoet water,Freshwater aquaculture
03220,Aquacultuur in zoet water,Freshwater aquaculture
0322001,Visteelt in zoet water,Freshwater fish farming
05,Winning van steenkool en bruinkool,Mining of coal and lignite
051,Winning van steenkool,Mining of hard coal
0510,Winning van steenkool,Mining of hard coal
05100,Winning van steenkool,Mining of hard coal
0510001,"Wassen, kalibreren, sorteren, vergruizen, enz., van steenkool","Washing, sizing, sorting, spraying of hard coal"
0510002,Vervaardiging van steenkoolagglomeraten,Agglomeration of hard coal
052,Winning van bruinkool,Mining of lignite
0520,Winning van bruinkool,Mining of lignite
05200,Winning van bruinkool,Mining of lignite
06,Winning van aardolie en aardgas,Extraction of crude petroleum and natural gas
061,Winning van aardolie,Extraction of crude petroleum
0610,Winning van aardolie,Extraction of crude petroleum
06100,Winning van aardolie,Extraction of crude petroleum
062,Winning van aardgas,Extraction of natural gas
0620,Winning van aardgas,Extraction of natural gas
06200,Winning van aardgas,Extraction of natural gas
0620001,Winning van condensaten,Extraction of condensates
0620002,Verwijderen en scheiden van vloeibare koolwaterstoffracties,Decantation and separation of liquid hydrocarbon fractions
07,Winning van metaalertsen,Mining of metal ores
071,Winning van ijzererts,Mining of iron ores
0710,Winning van ijzererts,Mining of iron ores
07100,Winning van ijzererts,Mining of iron ores
072,Winning van non-ferrometaalertsen,Mining of non-ferrous metal ores
0721,Winning van uranium- en thoriumerts,Mining of uranium and thorium ores
07210,Winning van uranium- en thoriumerts,Mining of uranium and thorium ores
0729,Winning van andere non-ferrometaalertsen,Mining of other non-ferrous metal ores
07290,Winning van andere non-ferrometaalertsen,Mining of other non-ferrous metal ores
08,Overige winning van delfstoffen,Other mining and quarrying
081,"Winning van steen, zand en klei","Quarrying of stone, sand and clay"
0811,"Winning van bouw- en siersteen, kalksteen, gips, krijt en leisteen","Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
08111,Winning van bouw- en siersteen,Quarrying of ornamental and building stone
0811101,"Winning, het ruw houwen en zagen van steensoorten voor de steenhouwerij of voor het bouwbedrijf, zoals marmer, graniet, zandsteen, enz.","Extraction, rough cutting and sawing of stone for stone transformation companies or for construction, such as marble, granite, sandstone, etc."
08112,"Winning van kalksteen, gips, krijt en leisteen","Extraction of limestone, gypsum, chalk and slate"
0811201,"Winning, malen en breken van cementsteen","Extraction, crushing and grinding of cement stones"
0811211,"Winning, malen en breken van kalksteen","Extraction, crushing and grinding of limestone"
0811212,Winning van ongebrande dolomiet,Extraction of not calcined dolomite
0811221,Winning van leisteen,Quarrying of slate
0812,"Winning van grind, zand, klei en kaolien",Operation of gravel and sand pits; mining of clays and kaolin
08121,Winning van grind,Extraction of gravel
0812101,Winning van grind uit groeven of door middel van uitbaggering,Extraction of gravel in quarries or by dredging
0812102,Breken en malen van grind,Crushing and grinding of gravel
08122,Winning van zand,Extraction of sand
0812201,Winning van industriezand en zand voor het bouwbedrijf uit groeven of door middel van uitbaggering,"Extraction of industrial and construction sand, in quarries or by dredging"
08123,Winning van klei en kaolien,Mining of clays and kaolin
089,"Winning van delfstoffen, n.e.g.",Mining and quarrying n.e.c.
0891,Winning van mineralen voor de chemische en de kunstmestindustrie,Mining of chemical and fertiliser minerals
08910,Winning van mineralen voor de chemische en de kunstmestindustrie,Mining of chemical and fertiliser minerals
0892,Winning van turf,Extraction of peat
08920,Winning van turf,Extraction of peat
0892001,Vervaardiging van tuinturf,Peat production for horticulture
0893,Zoutwinning,Extraction of salt
08930,Zoutwinning,Extraction of salt
0899,"Overige winning van delfstoffen, n.e.g.",Other mining and quarrying n.e.c.
08990,"Overige winning van delfstoffen, n.e.g.",Other mining and quarrying n.e.c.
0899001,"Winning van mineralen en overige materialen :  teelaarde en humus, schuur-, slijp- en polijstmiddelen, asbest, diatomeeënaarde, natuurlijk grafiet, speksteen, veldspaat, edelstenen, kwarts, mica, enz.","Extraction of various minerals and materials: breeding ground and humus, abrasive materials, asbestos, siliceous fossil meals, natural graphite, steatite (talc), feldspar, gemstones,quartz,mica,etc."
09,Ondersteunende activiteiten in verband met de mijnbouw,Mining support service activities
091,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning,Support activities for petroleum and natural gas extraction
0910,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning,Support activities for petroleum and natural gas extraction
09100,Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning,Support activities for petroleum and natural gas extraction
0910001,"Proefboren, gericht boren en bijboren met betrekking tot de aardolie- en aardgaswinning",Directional drilling related to the extraction of oil and gas
0910002,"Opbouwen van boortorens ter plaatse, repareren en ontmantelen van boortorens","In situ assembly, repair and dismantling of rigs"
099,Ondersteunende activiteiten in verband met de overige winning van delfstoffen,Support activities for other mining and quarrying
0990,Ondersteunende activiteiten in verband met de overige winning van delfstoffen,Support activities for other mining and quarrying
09900,Ondersteunende activiteiten in verband met de overige winning van delfstoffen,Support activities for other mining and quarrying
10,Vervaardiging van voedingsmiddelen,Manufacture of food products
101,Verwerking en conservering van vlees en vervaardiging van vleesproducten,Processing and preserving of meat; production of meat products
1011,"Verwerking en conservering van vlees, exclusief vlees van gevogelte","Processing and preserving of meat, excluding poultry meat"
10110,"Verwerking en conservering van vlees, exclusief vlees van gevogelte","Processing and preserving of meat, excluding poultry meat"
1011001,Slachten van dieren,Slaughter of animals
1011002,"Productie van vers vlees, als hele dieren of in delen","Production of fresh meat, carcasses or cuts"
1011003,Productie van ruwe huiden en vellen afkomstig uit slachthuizen,Production of leather and skins from slaughterhouses
1011004,"Smelten en raffineren van reuzel en van andere dierlijke vetten, geschikt voor consumptie",Smelting and refining of lard and other edible animal fats
1011005,Verwerking van slachtafvallen en krengen; productie van vleesmeel en -poeder en van beendermeel.,Processing of offal and carrion; production of meat and bone meal
1011006,Bewerking van natuurlijke darmen,Preparation of natural casings
1011007,"Productie van ongewassen huidwol, inclusief ruggewassen huidwol","Production of wool from unhairing process, including wool washed on the sheep"
1011011,"Productie van gekoeld of bevroren vlees, als hele dieren of in delen","Production of deep-frozen or frozen meat, in carcasses or cuts"
1012,Verwerking en conservering van gevogelte,Processing and preserving of poultry meat
10120,Verwerking en conservering van gevogelte,Processing and preserving of poultry meat
1012001,Slachten van gevogelte,Poultry slaughter
1012002,Bereiding van vers vlees van gevogelte,Preparation of fresh poultry meat
1012003,Productie van vers vlees van gevogelte in individuele porties,Production of fresh poultry meat in single portions
1012004,Productie van veren en dons,Production of feathers and down
1013,Vervaardiging van producten van vlees of van vlees van gevogelte,Production of meat or poultry meat products
10130,Vervaardiging van producten van vlees of van vlees van gevogelte,Production of meat or poultry meat products
1013001,"Productie van gedroogd, gezouten of gerookt vlees","Production of dried, salted or smoked meat"
1013002,"Vervaardiging van producten op basis van vlees (charcuteriewaren) : worst, salami, witte pens, bloedworst, andouillettes, cervelaatworst, patés, galantines, rillette, gekookte ham, enz.","Production of meat products (deli meats) sausages, salami, boudins, chitterlings, Wieners, pies, galantines, rillettes, cooked ham, etc."
1013011,Productie van diepgevroren vleeswaren,Production of frozen meat products
102,Verwerking en conservering van vis en van schaal- en weekdieren,"Processing and preserving of fish, crustaceans and molluscs"
1020,Verwerking en conservering van vis en van schaal- en weekdieren,"Processing and preserving of fish, crustaceans and molluscs"
10200,Verwerking en conservering van vis en van schaal- en weekdieren,"Processing and preserving of fish, crustaceans and molluscs"
1020001,"Conservering , koelen of diepvriezen van vis en schaal- en weekdieren : drogen, roken, zouten, pekelen, inblikken, enz.","Preservation, refrigeration or freezing of fish, crustaceans and molluscs: drying, smoking, salting, pickling, canning, etc."
1020002,"Vervaardiging van producten op basis van vis en van schaal- en weekdieren : productie van gekookte vis, visfillets, kuit en hom, kaviaar, kaviaarsurrogaten, enz.","Preparation of products from fish, crustaceans and molluscs: cooked fish, fish fillets, roes, caviar, caviar substitutes, etc."
1020011,"Bevriezen of diepvriezen van vis, schaal- en weekdieren","Refrigeration and freezing of fish, crustaceans and molluscs"
103,Verwerking en conservering van groenten en fruit,Processing and preserving of fruit and vegetables
1031,Verwerking en conservering van aardappelen,Processing and preserving of potatoes
10311,"Verwerking en conservering van aardappelen, exclusief productie van diepgevroren aardappelbereidingen","Transformation and preservation of potatoes, except manufacture of frozen potato preparations"
1031101,"Productie van aardappelconserven, exclusief diepgevroren producten","Production of canned potatoes, excluding frozen products"
1031102,Productie van gedehydreerde aardappelpuree,Production of dehydrated mashed potatoes
1031103,Productie van chips en dergelijke producten,Production of potato chips and similar products
1031104,Industrieel schillen van aardappelen,Industrial peeling of potatoes
10312,Productie van diepgevroren aardappelbereidingen,Manufacture of frozen potato preparations
1031201,Vervaardiging van diepgevroren aardappelproducten,Manufacture of frozen potato products
1032,Vervaardiging van groente- en fruitsappen,Manufacture of fruit and vegetable juice
10320,Vervaardiging van groente- en fruitsappen,Manufacture of fruit and vegetable juice
1032001,Vervaardiging van fruitsiropen,Manufacture of fruit syrups
1039,Overige verwerking en conservering van groenten en fruit,Other processing and preserving of fruit and vegetables
10391,"Verwerking en conservering van groenten, exclusief productie van diepgevroren groenten","Processing and preserving of vegetables, except manufacture of frozen vegetables"
1039101,Productie van uit groenten bestaande voedingsmiddelen,Production of food products from vegetables
1039102,"Conservering van groenten : drogen, inleggen in olie of in azijn, inblikken, enz.","Preservation of vegetables: drying, immersing in oil or vinegar, canning, etc."
10392,"Verwerking en conservering van fruit, exclusief productie van diepgevroren fruit","Processing and preserving of fruit, except manufacture of frozen fruit"
1039201,Productie van uit fruit bestaande voedingsmiddelen,Production of food products from fruit
1039202,"Vervaardiging van jam, marmelade, gelei en fruitmoes","Manufacture of jams, marmalades and jellies"
1039203,"Conservering van fruit : bevriezen, drogen, inleggen, inblikken, enz.","Fruit preservation: freezing, drying, dipping, canning, etc."
10393,Productie van diepgevroren groenten en fruit,Production of frozen vegetables and fruits
104,Vervaardiging van plantaardige en dierlijke oliën en vetten,Manufacture of vegetable and animal oils and fats
1041,Vervaardiging van oliën en vetten,Manufacture of oils and fats
10410,Vervaardiging van oliën en vetten,Manufacture of oils and fats
1041001,"Raffinage van plantaardige oliën : olijfolie, sojaolie, enz.","Refining of vegetable oils: olive oil, soya oil, etc."
1042,Vervaardiging van margarine en andere spijsvetten,Manufacture of margarine and similar edible fats
10420,Vervaardiging van margarine en andere spijsvetten,Manufacture of margarine and similar edible fats
105,Vervaardiging van zuivelproducten,Manufacture of dairy products
1051,Zuivelfabrieken en kaasmakerijen,Operation of dairies and cheese making
10510,Zuivelfabrieken en kaasmakerijen,Operation of dairies and cheese making
1051001,"Vervaardiging van verse vloeibare melk, gepasteuriseerd, gesteriliseerd, gehomogeniseerd en/of ultra-hoog verhit","Production of fresh liquid milk, pasteurized, sterilized, homogenized and/or ultra heat treated (U.H.T.)"
1051002,"Vervaardiging van room van verse verwerkte vloeibare melk, gepasteuriseerd, gesteriliseerd, gehomogeniseerd","Production of creams of fresh liquid milk, pasteurized, sterilized, homogenized"
1051003,"Vervaardiging van ingedikte melk, ook indien met toegevoegde suiker of andere zoetstoffen","Production of condensed milk, sweetened or not"
1051004,Productie van boter,Production of butter
1051005,Productie van kaas en wrongel,Production of cheese and curd
1051006,Productie van wei,Production of whey
1051007,Productie van caseïne en lactose (melksuikers).,Production of casein and lactose
1051008,Productie van yoghurt,Production of yoghurt
1051009,Productie van verse desserten op basis van melk,Production of fresh dairy desserts
1052,Vervaardiging van consumptie-ijs,Manufacture of ice cream
10520,Vervaardiging van consumptie-ijs,Manufacture of ice cream
1052001,"Productie van roomijs en ander consumptieijs (bv sorbet), inclusief roomijs dat door de producent zelf langs de openbare weg verkocht wordt","Production of ice cream and other edible ice (e.g. sorbet), including ice creams sold by the producer in the street"
106,"Vervaardiging van maalderijproducten, zetmeel en zetmeelproducten","Manufacture of grain mill products, starches and starch products"
1061,Vervaardiging van maalderijproducten,Manufacture of grain mill products
10610,Vervaardiging van maalderijproducten,Manufacture of grain mill products
